,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,On_Road_Price
0,MARUTISWIFT,MARUTI,Kolkata,2020,2944,1,Petrol,474000,614799
1,MARUTISWIFT,MARUTI,Kolkata,2018,79345,1,Petrol,715000,484299
2,HYUNDAIEON,HYUNDAI,Kolkata,2018,2624,1,Petrol,468000,337399
3,MARUTIWAGON R 1.0,MARUTI,Kolkata,2014,10953,1,Petrol,140000,356599
4,HYUNDAIELITE I20,HYUNDAI,Kolkata,2019,21415,1,Petrol,474000,532899
5,MARUTISWIFT,MARUTI,Kolkata,2018,16301,1,Petrol,370000,559099
6,VOLKSWAGENPOLO,VOLKSWAGEN,Kolkata,2015,77595,1,Diesel,181000,359499
7,HYUNDAIEON,HYUNDAI,Kolkata,2014,23786,1,Petrol,140000,227499
8,TATATIAGO,TATA,Kolkata,2022,10687,1,Petrol,507000,577899
9,HYUNDAII20,HYUNDAI,Kolkata,2012,82883,2,Petrol,140000,289199
10,HYUNDAII10,HYUNDAI,Kolkata,2013,72059,2,Petrol,181000,252799
11,MAHINDRAXUV500,MAHINDRA,Kolkata,2019,7562,1,Diesel,474000,1405599
12,HYUNDAIEON,HYUNDAI,Kolkata,2012,48802,1,Petrol,140000,200099
13,MARUTIALTO,MARUTI,Kolkata,2010,22973,1,Petrol,72000,152999
14,MARUTIBALENO,MARUTI,Kolkata,2021,2781,1,Petrol,474000,770299
15,MARUTISWIFT,MARUTI,Kolkata,2019,21388,1,Petrol,474000,558899
16,MARUTIALTO 800,MARUTI,Kolkata,2015,35391,2,Petrol,140000,248099
17,HYUNDAICRETA,HYUNDAI,Kolkata,2018,39812,1,Petrol,169000,840199
18,MAHINDRATHAR,MAHINDRA,Kolkata,2019,12969,2,Diesel,474000,882999
19,MARUTIALTO 800,MARUTI,Kolkata,2018,3519,1,Petrol,169000,336699
20,MARUTICELERIO,MARUTI,Kolkata,2015,11362,1,Petrol,140000,380499
21,MARUTIALTO 800,MARUTI,Kolkata,2014,93106,1,Petrol,468000,239099
22,MARUTICELERIO,MARUTI,Kolkata,2021,7726,1,Petrol,474000,535699
23,VOLKSWAGENPOLO,VOLKSWAGEN,Kolkata,2020,24344,1,Petrol,715000,526299
24,MARUTIEECO,MARUTI,Kolkata,2022,870,1,Petrol,474000,527099
25,MARUTISWIFT DZIRE,MARUTI,Kolkata,2014,12792,1,Petrol,181000,448199
