,City,Year,Company,Model,Variant,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price,Ex_Showroom_Price
0,Kolkata,2020,MARUTI,SWIFT,VXI,2944,1,Petrol,474000,682149,67350,614799,600901
1,Kolkata,2022,MAHINDRA,BOLERO NEO,N 10,1271,1,Diesel,474000,1227549,21150,1206399,1196711
2,Kolkata,2018,MARUTI,SWIFT,VXI,79345,1,Petrol,715000,557099,72800,484299,470401
3,Kolkata,2010,HYUNDAI,SANTRO XING,GL,46556,2,Petrol,72000,166299,0,166299,152401
4,Kolkata,2018,HYUNDAI,EON,MAGNA PLUS,2624,1,Petrol,468000,337399,0,337399,327711
5,Kolkata,2014,MARUTI,WAGON R 1.0,VXI,10953,1,Petrol,140000,356599,0,356599,344057
6,Kolkata,2019,HYUNDAI,ELITE I20,ERA 1.2,21415,1,Petrol,474000,537899,5000,532899,519001
7,Kolkata,2018,MARUTI,SWIFT,VXI,16301,1,Petrol,370000,579099,20000,559099,545201
8,Kolkata,2015,VOLKSWAGEN,POLO,HIGHLINE1.5L DIESEL,77595,1,Diesel,181000,359499,0,359499,349811
9,Kolkata,2014,HYUNDAI,EON,MAGNA PLUS,23786,1,Petrol,140000,227499,0,227499,214957
10,Kolkata,2017,MAHINDRA,BOLERO,POWER+ SLE,45095,1,Diesel,370000,570699,0,570699,558511
11,Kolkata,2022,TATA,TIAGO,1.2 XT (O),10687,1,Petrol,507000,608399,30500,577899,564001
12,Kolkata,2012,HYUNDAI,I20,SPORTZ 1.2 O,82883,2,Petrol,140000,294199,5000,289199,279511
13,Kolkata,2013,HYUNDAI,I10,SPORTZ 1.2 KAPPA2,72059,2,Petrol,181000,270599,17800,252799,238901
14,Kolkata,2019,MAHINDRA,XUV500,W9,7562,1,Diesel,474000,1438899,33300,1405599,1386192
15,Kolkata,2012,HYUNDAI,EON,MAGNA,48802,1,Petrol,140000,200099,0,200099,187557
16,Kolkata,2010,MARUTI,ALTO,LXI,22973,1,Petrol,72000,152999,0,152999,140457
17,Kolkata,2021,MARUTI,BALENO,ZETA PETROL 1.2,2781,1,Petrol,474000,779399,9100,770299,756401
18,Kolkata,2019,MARUTI,SWIFT,VXI,21388,1,Petrol,474000,606999,48100,558899,545001
19,Kolkata,2015,MARUTI,ALTO 800,LXI,35391,2,Petrol,140000,248099,0,248099,238411
20,Kolkata,2018,HYUNDAI,CRETA,1.6 E + VTVT,39812,1,Petrol,169000,847299,7100,840199,820792
21,Kolkata,2019,MAHINDRA,THAR,CRDI 4x4 6str AC,12969,2,Diesel,474000,882999,0,882999,870811
22,Kolkata,2018,MARUTI,ALTO 800,LXI,3519,1,Petrol,169000,336699,0,336699,327011
23,Kolkata,2015,MARUTI,CELERIO,VXI,11362,1,Petrol,140000,414599,34100,380499,370811
24,Kolkata,2014,MARUTI,ALTO 800,VXI,93106,1,Petrol,468000,249099,10000,239099,229411
25,Kolkata,2021,MARUTI,CELERIO,VXI,7726,1,Petrol,474000,535699,0,535699,523511
26,Kolkata,2020,VOLKSWAGEN,POLO,Trendline 1.0 L Petrol,24344,1,Petrol,715000,573199,46900,526299,513757
27,Kolkata,2022,MARUTI,EECO,7 STR STD(O),870,1,Petrol,474000,542899,15800,527099,514911
28,Kolkata,2014,MARUTI,SWIFT DZIRE,VXI,12792,1,Petrol,181000,464599,16400,448199,438511
29,Kolkata,2016,MARUTI,SWIFT DZIRE,LXI OPT,28164,2,Petrol,140000,435199,33900,401299,391611
30,Kolkata,2018,HYUNDAI,VERNA,1.4 VTVT E,31681,1,Petrol,169000,696399,19150,677249,667561
31,Kolkata,2012,MARUTI,SWIFT,VXI,19042,1,Petrol,181000,346999,0,346999,333101
32,Kolkata,2013,TOYOTA,COROLLA ALTIS,G,60387,1,Petrol,181000,386099,0,386099,376411
33,Kolkata,2019,VOLKSWAGEN,VENTO,COMFORTLINE MT PETROL,10624,1,Petrol,169000,663999,0,663999,644592
34,Kolkata,2022,RENAULT,KWID,1.0 CLIMBER OPT,1087,1,Petrol,474000,524099,5000,519099,506557
35,Kolkata,2013,MARUTI,WAGON R 1.0,VXI,76617,1,Petrol,181000,290599,0,290599,278057
36,Kolkata,2019,RENAULT,TRIBER,1.0 RXL PETROL,3897,1,Petrol,474000,601699,32200,569499,556957
37,Kolkata,2017,HYUNDAI,ELITE I20,Magna Executive 1.2,19857,1,Petrol,169000,537999,21800,516199,506511
38,Kolkata,2017,TATA,TIAGO,XT 1.2 REVOTRON,65546,1,Petrol,507000,354799,0,354799,345111
39,Kolkata,2016,FORD,ECOSPORT,1.5 TITANIUM TI VCT,70882,1,Petrol,322000,492699,20700,471999,462311
40,Kolkata,2013,MARUTI,ALTO K10,LXI,38627,1,Petrol,140000,219199,0,219199,209511
41,Kolkata,2018,MARUTI,WAGON R 1.0,VXI,23019,1,Petrol,468000,454199,59000,395199,382657
